10	0	28
0	45	45	45	0	20	25	10	10	35	35	20	20	1	1	1	0	-20	-25	0	0	0	0	0	0	0	0	0	
1	0	-1	0	1	-1	0	-1	0	0	0	0	0	0	0	0	-1	1	0	1	0	0	0	0	0	0	0	0	
1	-1	0	0	-1	1	0	0	-1	0	0	0	0	0	0	0	1	-1	0	0	1	0	0	0	0	0	0	0	
2	0	0	-1	1	0	-1	0	0	-1	0	0	0	0	0	0	-1	0	1	0	0	1	0	0	0	0	0	0	
2	-1	0	0	-1	0	1	0	0	0	-1	0	0	0	0	0	1	0	-1	0	0	0	1	0	0	0	0	0	
2	0	0	-1	0	1	-1	0	0	0	0	-1	0	0	0	0	0	-1	1	0	0	0	0	1	0	0	0	0	
2	0	-1	0	0	-1	1	0	0	0	0	0	-1	0	0	0	0	1	-1	0	0	0	0	0	1	0	0	0	
100	-45	0	0	45	0	0	0	0	0	0	0	0	-1	0	0	45	0	0	0	0	0	0	0	0	1	0	0	
100	0	-45	0	0	45	0	0	0	0	0	0	0	0	-1	0	0	45	0	0	0	0	0	0	0	0	1	0	
100	0	0	-45	0	0	45	0	0	0	0	0	0	0	0	-1	0	0	45	0	0	0	0	0	0	0	0	1	
